artist_id, avg_popularity
6YHmAAxK3kMJMH7h0kIpC2, 19.0
7xid9ZMVixirxC3L9dPfno, 19.0
3RbGv0niZjQQ1YfwN5pMx8, 19.0
2YaJlLQ9LP5rdnXeoiJuoQ, 6.0
5lW0ehdYZdPHqtFyCcw8Mj, 6.5
0YhPRVxQ8QwqpTAgs7H1t2, 3.5
1j6VOtNVilpZXu4cdDxFwS, 10.0
3tXJCZDBVL6SiVe6F6qR1R, 19.0
3Mq36dJ3CViGrEsIkMQU6l, 1.0
1HMhQXKFJbOQnz7klovQ16, 7.666666666666667
4OYCCmyvBPzxpR3ED1LvCk, 7.666666666666667
7enBGKerkveNG8sMfOZH5M, 7.666666666666667
3hE3Qh8iDlEgvSTR64GDiK, 16.75
5liTb9ibLR85BavbyDHypY, 14.25
2wKNVoGzrbHsTIptJukrU1, 16.5
0jhwcNqYQqnFVDg4Tfe0LR, 16.5
6Biw6HWgtWiZx7x0Lu91px, 17.0
7G8uldnUmGLlecChZ6Iqiq, 12.0
4KtaZfiWjhWsS9JdVPwyhD, 13.333333333333334
2Q0kUoRFzHcO1bdzXUJGNF, 12.0
2AUiMKwWe99NoYmLUwPsTm, 13.666666666666666
4H4HxApjZLx105Ra45F4DT, 3.0
2ohY2blkHbrFex3mdTuwHo, 5.0
4PtrIFnlAJvkbUVpTiTOfx, 29.0
26vaHV5E30zZWEWlxrkGlk, 20.0
2sniYFqcTQc1njZDkTYCTO, 29.0
1jlC9FvrEBhS3o89ba7zYY, 10.5
7vWi7tbKeDzW26RMNqyKMk, 12.75
6QrIlAWJe61zHtRo1T5yK7, 12.75
0Pg2AQPP3UKAnG0sajZvl4, 13.5
2QQfWdypjdSvwBWGwSP2kb, 13.5
2A4X6PSD8k2DhNumLPK6VI, 42.0
66ntWKCgzPLbNgoZ5lTUmq, 29.0
2qeDym2z27vexXSWlLqsIs, 34.5
6Kf7G48f7VSXuSTGyv9hTf, 32.0
5uiOipahj6wbgMpKT13ron, 41.5
76rCj0FYpyOfL1azLoQeID, 33.666666666666664
03SBMfoHX3EUENFwFoLN5i, 21.666666666666668
2HsREgDoDk0x5GHbnYNXeP, 34.0
1aq9mNdCWo9JhIi5Z2x22C, 35.666666666666664
4hL1sAObXLMX7YX9Z42hYX, 9.666666666666666
0ht6EytCPBjv3dgIocl5rx, 9.333333333333334
192EQLhVbJGg7V69DGnZTu, 12.0
4aoF4FGlauOiXLDrImwf3i, 9.0
7eiJKxH5VRMZMF3a3dOIr9, 19.5
6xkdK7t7zcD8btqlwZmEzO, 12.5
3L9vGiLEeO6vw4sqLnUpOp, 12.0
06yY9tnbG1gexa1692wdf2, 22.0
4XUER2sDZzhh33azQxsq5I, 22.0
2KBVgrD6H0EdZOt2Qm4jOA, 22.0
50Kop00cliTuhn1vCBNVkH, 21.0
7HQWcagXysMyZIpH0sNcBa, 7.0
5tgZZSLS0JNEggax8ytqaQ, 7.0
1o6XjojeYwLFF5wRschn1Z, 5.0
50PEqTgVL93Umkrb9O1HYV, 17.0
6ZDwpJEHl0ucFwKCEG3esT, 18.5
52KIFT05UkPIn0OCFGv5HK, 17.5
7iKi5DNqOwhMzZCtHtbROe, 23.0
3Y3OnlLeNDdbWno35c0BOR, 21.0
3FzAyCeE8D6OrTh8OJJ1li, 23.0
6DX7Esjrn7tjrL0RvNEuKb, 23.0
0G2s6dJDa4YJjewWHTaZ8x, 9.0
0DHmLgseuxa6P2sFbQiSuD, 9.0
1e7N4VthuYMpUyAnZlmigI, 10.0
6a72CU5BKwtIwJjHkyIDME, 9.0
1NPx3JnEroMvfHE1SqU3op, 23.0
42LWIaryENXbgq0TmE5XLO, 25.0
5fbPnvmIFMWuiKlCo76a5h, 25.0
3mDEy1yjmoxh9gMTvIN8KJ, 4.0
72GIxnXjajGSzanS3QAEHN, 4.0
74Ne7ChTgnu1sHY3pmTzui, 15.0
74suvgAlCVJ6mejf0EBUGv, 15.0
4bGGn7FHv69dtad5RuzEOi, 24.0
09024KhQp6O58HmVYeMpjd, 24.0
0JC6sDvTPPO8bu8wV7Pyb8, 15.0
3GRHH0O3vNqN1CZUUO1LAa, 14.0
77JDQcX8bfNkivwyOBVVIs, 13.0
7rYx9sue2LvmyRHrANxWlO, 5.0
4VRxmvDs0FB4TNZt2qvU8M, 14.0
1nwtsdzCCaqYDk42cJMAcR, 12.0
5byn1BtQQdomxOZgqd2S0Y, 23.0
1EEH91ujjE6eIlYtEjrHv6, 30.0
4lhlz5rUsAUf1V4WAe9tYs, 18.0
5tLNztRdHWoYnjMDlNtxZp, 15.0
6UaKHO8sN34dj4Q06eP5oE, 7.0
3N0oTQY0J2ZwXJZ2cZhRZL, 6.0
0yY2peQNOfBptpjpheyeAd, 15.0
2Ehx7YfTMksORGtHDUXG3I, 9.0
2AqMgLvl1EKuvpjFQIIX0U, 16.0
14aa31NefordsMffKyjVy6, 49.0
3W9VRKnzPo8DXlMVYODc95, 22.0
3Aa8vv6PuVakY8yP8tpi2X, 19.0
0d44l789sOUhM9qCJLeuxp, 18.0
5ABM3bAe0F9dNPqt1rCgig, 22.0
4UPW3tJZiSslXUOh8VnvKh, 7.0
7vYJksawd0Gs6JLxsfv5lj, 7.0
4iUfKJniu3FcglVXEPlTGZ, 1.5
1EU27kKKmpyiT5cnFmHW6j, 3.0
15itjC8Y9xvOJHASycw9pr, 1.0
5JhFlxteyBrH7hSAhL4FEO, 3.0
15jJ00EhZuN4zHdcLMbaww, 4.0
61XriDY2Ow1N2gvhzugwE9, 1.0
