popularity,id,1_n,2_n
44,5z9PI0y6MRnL9BCHOI5ilL,19.53333,23.53750
1,53TmaVPQ1KJCd5ZJX6v9xk,1.00000,1.00000
7,6Kr8yvexXK6sfctK1Sfg7i,2.00000,7.00000
54,3gOl0pzEP8SvToQrrrbw7P,58.00000,52.25000
23,4KMt98IljgbTUeeU9KAu7y,13.71429,16.94406
7,08csGwfjmJgda6bKdPI7RA,20.33333,15.76000
13,6V7rXqQ6eNhJArV5K6RCMp,21.00000,28.00000
10,7LvlA9bk1pS4VBftw5xqhW,38.00000,23.00000
16,5r2RaJCjC4VDZIzHOIoHGm,42.66667,32.93750
16,1MeLBDtgUuZ5yEPF2WGzx2,18.00000,18.82609
12,5LtSXvgNXLoarTerMPW7DA,15.50000,20.66667
25,7KNjGFK2IZ3cOrHvDCAtMc,41.00000,30.00000
21,4n1QLJXpJyIV42uMORty2W,24.00000,40.66667
20,0Nca2TQcIrUaIRYwShmLrc,19.00000,20.00000
26,4Uoi5CyT5SCbkcHh2pnrqd,40.25000,40.00000
29,2NiYFFLYWPZPKa9xPGlRVu,29.00000,29.00000
23,2z0YOWu3zkbREo7VHyvQoK,3.00000,23.00000
30,1whAPNHAalmyNIsfapcIcR,26.00000,30.00000
41,7y7byJwxSQxTOxuoAA9tcp,67.00000,37.11765
54,68Re4wugc13HVak1p8Zawl,44.00000,54.00000
40,0DnLgFtmqEF4DLwRQa1cXQ,36.33333,33.15000
57,5dacK0fiMwLoV93yBdUrZK,67.25000,58.00000
7,0YTGba0rhqRhgj5XmBQJ9T,7.00000,7.00000
13,024WG1tZL7XwQlPJ7DqUim,13.00000,13.00000
1,7JHnLDCjoUd70Yn2Hdqxqi,2.00000,1.00000
17,6Md7osSfEXxeJlkBOLtKZo,16.00000,17.00000
45,2TS6Y2HXkANqlIC7ZNi5zq,36.00000,45.00000
19,55Xa6KiDCX6yjG4ESgs3eM,32.16667,28.32000
3,2HkNF8cqkbEurBgMopcUyf,22.00000,11.75000
29,2AyPoC0ulkGddveJbvlcm8,47.00000,44.22222
42,2d0BUP7WeJ6caBJZHIn5G6,54.00000,49.66667
63,6zpNfYJcPavd1pqLXKiSvl,32.00000,63.00000
17,1d56VqB4AyC2yy0YyeKd5Z,34.00000,15.00000
52,4SgbqL3dLr5BfCvBBBUucP,37.33333,38.17647
25,4c0CmlfLtocEfBgq5w289e,8.18750,9.64015
22,5bi9RZL4DjdU9V9PRttwVz,20.00000,22.00000
9,5F6ZMiGi5oAIztq4pF4V67,52.00000,37.66667
14,3D3M2YiczHcqua52vqVoYc,34.00000,36.00000
41,7pwThElmrxl0pjTwXMojCx,34.33333,31.28571
19,2ymjQZjPQe0pziQ67Y8Ncr,24.00000,19.00000
13,4dxk2x0XNvqhk5QzC7ZYY0,14.00000,13.00000
17,3py7wmfyNBKxjImju7SmBv,43.00000,29.33333
5,3z8UclTMQmJWurwEn6C3yM,9.00000,5.00000
9,3KSPxY0wMLxAU5PBEROXgK,3.00000,6.00000
55,6SJX6moiTKAOvrjJeT5RxY,41.50000,43.63636
54,4POPMvpDC7yGtZZ1agfhT0,17.00000,35.50000
5,09uAubY6rlL3uIeSI7ukX8,1.50000,5.00000
24,2UcJVTNX3AAs64CAUgFXKY,25.50000,22.36842
47,7p53fRMaR9h4Ri162E5LGi,46.00000,39.66667
23,1yBp6OMncrnMfyJWIEbKD5,28.00000,25.50000
22,25bpBnWJUBvfBaaUzw8SXy,31.00000,16.66667
27,2VO8rsGA7lKqgoM5fFkgx9,29.00000,35.75000
15,25nahlb6zTMSuEX0ZgLsUT,9.33333,8.46154
2,7aC2uwC9vsPL0itsFfOJXq,17.00000,2.00000
60,45oFvHE9QZYC1vn5pVCDlu,34.33333,59.44444
26,5mUsNIG0uiD5kdVjj5H9lm,14.00000,26.00000
1,4DnZpyGb7RXUQJ488lhxjz,7.18750,8.82671
11,72SI3ZsGwZtaCICGhiZro7,20.00000,24.94444
8,0B5WZoBuVP6Ps5mEKu5U4Q,10.50000,18.22222
27,3xrSIs2cnY8G36UApbC1rv,35.00000,38.50000
49,7bZpsazP9325Jy6LLx2p7J,20.00000,49.00000
15,6Zsa6YJUpv57fOESdkQQ8M,12.00000,13.50000
40,1YeRLPqVEJIpa6jstdiD0O,27.00000,38.25000
9,0CrUJL5Vd7nzutLUy6GegZ,5.00000,9.00000
4,0iSMMupC6kBKj7btcBIXVf,20.00000,9.33333
12,10bgnmbUkdyAji2WgMLyLY,2.56250,13.11111
48,0i8byW08EV6y7Dv9gDPUCF,36.25000,34.50000
33,1GPMjJFlpnO6hOHBhsX0qW,33.00000,33.00000
6,1d85QLGvI5SQH9u4ptWbVL,14.00000,22.35714
47,6Y5o021VaeAm5iRncZhLei,46.00000,47.00000
48,1Jc2HsPucRk1x7lAUd7xma,39.00000,51.27273
18,75V7zNfB94p5PQ3qnQf47G,31.33333,36.00000
6,6IS2KR6r60BZPOqOOEuvlK,15.00000,24.80645
